Individual_Id,Name,DOB,Gender,Pregnant,Annual_Income,Household_members,Citizenship,Homeless,Eligible
10000048,Jim Simons,7/10/1962,Male,N,25000,2,OTH,N,N
10000049,Leonard Lauder,12/1/1969,Female,N,60000,4,US,Y,Y
10000050,Charoen Sirivadhanabhakdi,11/2/1983,Male,N,20000,2,US,N,N
10000051,Vagit Alekperov,3/19/1978,Male,N,30000,4,US,N,N
10000052,Stefan Persson,2/17/1982,Male,N,50000,3,US,N,N
10000053,Azim Premji,9/19/1977,Male,N,80000,3,US,N,N
10000054,Susanne Klatten,9/23/1985,Male,N,25000,2,US,N,Y
10000055,He Xiangjian,11/2/1967,Female,N,65000,3,MEX,N,N
10000056,Vladimir Lisin,1/29/1986,Female,N,25000,1,CAN,Y,N
10000057,Takemitsu Takizaki,3/24/1970,Female,N,60000,3,US,N,N
10000058,Jim Ratcliffe,1/31/1989,Male,N,20000,2,OTH,N,N
10000059,Alexey Mordashov,2/3/1973,Male,N,30000,4,US,Y,Y
10000060,Lukas Walton,12/8/1985,Male,N,50000,2,US,N,N
10000061,Gennady Timchenko,4/9/1963,Male,N,80000,4,US,N,Y
10000062,Joseph Safra,1/16/1960,Male,N,25000,3,US,N,Y
10000063,Steve Schwarzman,5/2/1975,Female,N,65000,3,US,N,Y
10000064,Lee Kun Hee,12/7/1981,Male,N,25000,2,US,N,N
10000065,Ernesto Bertarelli,3/22/1974,Female,Y,60000,3,MEX,N,N
10000066,William Ding,7/10/1962,Male,N,20000,1,CAN,Y,N
10000067,Klaus-Michael Kuehne,12/1/1969,Male,N,30000,3,US,N,N
10000068,Lui Che Woo,11/2/1983,Male,N,50000,2,OTH,N,N
10000069,Ray Dalio,1/16/1960,Male,N,80000,4,US,Y,Y
10000070,Abby Johnson,5/2/1975,Male,N,25000,2,US,N,Y
10000071,John Menard Jr,12/7/1981,Female,Y,65000,4,US,N,Y
10000072,Heinz Hermann Thiele,3/22/1974,Female,N,25000,3,US,N,N
10000073,Henry Cheng,7/10/1962,Female,N,60000,3,US,N,N
10000074,Stefan Quandt,1/16/1960,Male,N,20000,2,US,N,Y
10000075,Donald Bren,5/2/1975,Male,N,30000,3,MEX,N,N
10000076,Robert Kuok,12/7/1981,Male,N,50000,1,CAN,Y,N
10000077,Shiv Nadar,3/22/1974,Male,N,80000,3,US,N,N
10000078,Lee Man Tat,7/10/1962,Male,N,25000,2,OTH,N,N
10000079,Carl Cook,12/1/1969,Female,Y,65000,4,US,Y,N
10000080,Gina Rinehart,11/2/1983,Male,N,25000,2,US,N,N
10000081,Alisher Usmanov,3/19/1978,Female,N,60000,4,US,N,N
10000082,Budi Hartono,2/17/1982,Male,N,20000,3,US,N,Y
10000083,Charlene de Carvalho-Heineken,9/19/1977,Male,N,30000,3,US,N,N
10000084,Thomas Peterffy,9/23/1985,Male,N,50000,2,US,N,N
10000085,Roman Abramovich,11/2/1967,Male,N,80000,3,MEX,N,N
10000086,Aliko Dangote,1/29/1986,Male,N,25000,1,CAN,Y,N
10000087,Donald Newhouse,3/24/1970,Female,Y,65000,3,US,N,Y
10000088,Iris Fontbona,1/31/1989,Female,N,25000,2,OTH,N,N
10000089,Wang Jianlin,2/3/1973,Female,N,60000,4,US,Y,Y
10000090,Hasso Plattner,12/8/1985,Male,N,20000,2,US,N,Y
10000091,Michael Hartono,4/9/1963,Male,N,30000,4,US,N,N
10000092,Eric Schmidt,2/11/1960,Male,N,50000,3,US,N,N
10000093,Alwaleed Al Saud,4/2/1960,Male,N,80000,3,US,N,N
10000094,Andrey Melnichenko,4/3/1960,Male,N,25000,2,US,N,N
10000095,Viktor Vekselberg,4/4/1960,Female,N,65000,3,MEX,N,N
10000096,Ricardo Salinas,4/5/1960,Male,N,25000,1,CAN,Y,N
10000097,Uday Kotak,4/6/1960,Female,Y,60000,3,US,N,Y
10000098,Masayoshi Son,4/7/1960,Male,N,20000,2,OTH,N,N
10000099,Zhang Zhidong,4/8/1970,Male,N,30000,4,US,Y,Y
10000100,Sun Piaoyang,4/9/1960,Male,N,50000,2,US,N,N
